Replicate,Position_ID,Type,Frame,Cell_ID,Area_um_2,,,,Perimeter,Circularity,,,,Aspect_ratio,Round,Solidity
Rep1,Pos016,Uncompressed,45,3,542.39,255,255,255,99.432,0.689,138309.471,100,107100,1.385,0.722,0.865
Rep1,Pos016,Uncompressed,45,4,517.853,255,255,255,86.461,0.871,132052.614,100,102255,1.232,0.812,0.922
Rep1,Pos016,Uncompressed,45,5,582.424,255,255,255,93.555,0.836,148518.027,100,115005,1.205,0.83,0.919
Rep1,Pos016,Uncompressed,45,6,533.35,255,255,255,101.981,0.644,136004.313,100,105315,1.668,0.6,0.834
Rep1,Pos016,Uncompressed,45,7,732.227,255,255,255,113.459,0.715,186717.786,100,144585,1.692,0.591,0.867
Rep1,Pos016,Uncompressed,45,8,489.442,255,255,255,84.188,0.868,124807.832,100,96645,1.293,0.774,0.926
Rep1,Pos016,Uncompressed,45,9,515.271,255,255,255,86.851,0.858,131393.998,100,101745,1.269,0.788,0.925
Rep1,Pos016,Uncompressed,45,10,366.759,255,255,255,73.214,0.86,93523.547,100,72420,1.299,0.77,0.91
Rep1,Pos016,Uncompressed,45,11,600.503,255,255,255,93.279,0.867,153128.343,100,118575,1.319,0.758,0.923
Rep1,Pos016,Uncompressed,45,12,595.338,255,255,255,101.039,0.733,151811.11,100,117555,1.256,0.796,0.889
Rep1,Pos016,Uncompressed,45,13,687.027,255,255,255,98.766,0.885,175191.997,100,135660,1.135,0.881,0.942
Rep1,Pos016,Uncompressed,45,14,582.424,255,255,255,96.218,0.791,148518.027,100,115005,1.365,0.733,0.902
Rep1,Pos016,Uncompressed,45,15,745.141,255,255,255,121.77,0.631,190010.869,100,147135,1.183,0.845,0.857
Rep1,Pos016,Uncompressed,45,16,563.053,255,255,255,88.734,0.899,143578.403,100,111180,1.074,0.931,0.936
Rep1,Pos017,Uncompressed,1,1,719.313,255,255,255,110.292,0.743,183424.703,100,142035,2.076,0.482,0.921
Rep1,Pos017,Uncompressed,1,2,718.021,255,255,255,108.523,0.766,183095.395,100,141780,1.103,0.906,0.902
